Year,Month,Day,Daily/Monthly,State,County,FIPS Code,Grid Index,Lat (llcrnr),Lon (llcrnr),Lat (urcrnr),Lon (urcrnr),Avg Temperature (K),Max Temperature (K),Min Temperature (K),Precipitation (kg m**-2),Relative Humidity (%),Wind Gust (m s**-1),Wind Speed (m s**-1),U Component of Wind (m s**-1),V Component of Wind (m s**-1),Downward Shortwave Radiation Flux (W m**-2),Vapor Pressure Deficit (kPa)
2022,8,1.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,300.834,307.589,296.958,0.0,69.4,6.887,3.308,2.441,0.771,7582.3,1.318
2022,8,2.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,301.115,307.295,295.443,0.0,71.0,5.459,3.194,-0.569,2.653,7456.2,1.245
2022,8,3.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,300.729,306.036,296.892,11.906,75.5,9.612,4.499,1.16,3.935,1741.9,0.932
2022,8,4.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,298.51,305.281,292.342,0.0,77.5,3.944,2.325,0.263,-1.507,7732.9,0.872
2022,8,5.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,298.675,306.784,292.952,0.0,75.9,3.126,1.766,-0.841,0.102,6985.108,0.985
2022,8,6.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,301.801,308.439,296.148,0.0,76.1,6.965,3.623,0.21,3.405,7026.4,1.103
2022,8,7.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,302.368,306.058,299.365,0.032,72.9,7.904,3.596,0.785,3.342,4242.3,1.147
2022,8,8.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,299.47,304.863,295.291,15.63,76.5,7.429,3.768,1.466,0.461,4170.8,0.851
2022,8,9.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,294.227,300.651,287.728,0.0,77.4,3.187,1.771,-0.707,-1.156,6239.2,0.686
2022,8,10.0,Daily,IOWA,VAN BUREN,19177,0.0,40.59853,-92.17978,40.7496675,-92.06402725,294.552,303.401,286.634,0.0,72.6,2.597,1.261,-0.542,-0.402,7424.5,0.909
